,Department,Course,Section,Instructor,Time
642,AEPS,110,01,"Costello, Michael J.",MWF 08:10 AM - 09:00 AM
643,AEPS,110,02,"Costello, Michael J.",M 10:10 AM - 12:00 PM
644,AEPS,110,03,"Costello, Michael J.",M 02:10 PM - 04:00 PM
645,AEPS,110,04,"Costello, Michael J.",W 12:10 PM - 02:00 PM
340,AEPS,120,01,"Walter, Virginia R.",MWF 09:10 AM - 10:00 AM
352,AEPS,120,02,"Bush III, Elmer O.",T 12:10 PM - 03:00 PM
357,AEPS,120,03,"Chambers, Joseph William",W 03:10 PM - 06:00 PM
322,AEPS,120,04,"Hoffman, Margaret C.",R 08:10 AM - 11:00 AM
323,AEPS,123,01,"Hoffman, Margaret C.",MWF 01:10 PM - 02:00 PM
324,AEPS,123,02,"Hoffman, Margaret C.",T 08:10 AM - 11:00 AM
363,AEPS,127,01,"Manning, Christopher M.",TR 03:10 PM - 04:00 PM
364,AEPS,127,02,"Manning, Christopher M.",TR 04:10 PM - 07:00 PM
310,AEPS,132,01,"Garner, Lauren C.",MWF 11:10 AM - 12:00 PM
311,AEPS,132,02,"Garner, Lauren C.",T 08:10 AM - 11:00 AM
312,AEPS,132,03,"Garner, Lauren C.",R 08:10 AM - 11:00 AM
313,AEPS,202,01,"Garner, Lauren C.",R 12:10 PM - 01:00 PM
314,AEPS,202,02,"Garner, Lauren C.",R 01:10 PM - 03:00 PM
338,AEPS,203,01,"Tubeileh, Ashraf",T 12:10 PM - 01:00 PM
339,AEPS,203,02,"Tubeileh, Ashraf",T 01:10 PM - 03:00 PM
358,AEPS,204,01,"Chambers, Joseph William",R 12:10 PM - 01:00 PM
359,AEPS,204,02,"Chambers, Joseph William",R 01:10 PM - 03:00 PM
353,AEPS,204,07,"Bush III, Elmer O.",F 12:10 PM - 01:00 PM
354,AEPS,204,08,"Bush III, Elmer O.",F 01:10 PM - 03:00 PM
360,AEPS,212,15,"Chambers, Joseph William",N/A N/A - N/A
361,AEPS,215,01,"Lynch, Melinda I.",R 03:10 PM - 04:00 PM
362,AEPS,215,02,"Lynch, Melinda I.",TR 04:10 PM - 07:00 PM
346,AEPS,244,01,"Wong, Jeffrey C.",MWF 10:10 AM - 11:00 AM
66,AEPS,244,02,"Liu, Bo",R 12:10 PM - 03:00 PM
67,AEPS,244,03,"Liu, Bo",F 12:10 PM - 03:00 PM
347,AEPS,304,01,"Wong, Jeffrey C.",MWF 12:10 PM - 01:00 PM
348,AEPS,304,02,"Wong, Jeffrey C.",R 03:10 PM - 06:00 PM
349,AEPS,304,03,"Wong, Jeffrey C.",R 03:10 PM - 06:00 PM
341,AEPS,312,11,"Walter, Virginia R.",N/A N/A - N/A
318,AEPS,327,01,"Headrick, David H.",MWF 10:10 AM - 11:00 AM
319,AEPS,327,02,"Headrick, David H.",R 12:10 PM - 03:00 PM
320,AEPS,327,03,"Headrick, David H.",R 03:10 PM - 06:00 PM
300,AEPS,339,01,"Steinmaus, Scott J.",N/A N/A - N/A
342,AEPS,350,01,"Walter, Virginia R.",MW 02:10 PM - 03:00 PM
